XA|C|E vs X|C|E,XA|BC|DE vs X|BC|DE,X|C|E vs X|BC|DE,XA|C|E vs AX|BC|DE,X|A|B|C vs X|ABC,"X|A|B|C vs X|A, X|B, X|C",XA|C|E vs X|BC|DE,XA|BC|DE vs X|C|E
1.5,0.5,-0.5,-3.5,0.5,3.5,1.5,0.5
2.5,0.5,3.5,-0.5,1.5,1.5,0.5,-2.5
3.5,3.5,0.5,3.5,2.5,3.5,1.5,1.5
2.5,0.5,3.5,-0.5,3.5,1.5,3.5,-0.5
1.5,0.5,1.5,-1.5,1.5,2.5,0.5,3.5
3.5,1.5,1.5,2.5,3.5,0.5,3.5,3.5
2.5,1.5,-0.5,0.5,1.5,1.5,1.5,0.5
3.5,3.5,3.5,-0.5,1.5,3.5,2.5,3.5
1.5,1.5,1.5,3.5,0.5,2.5,3.5,3.5
3.5,1.5,3.5,1.5,1.5,3.5,3.5,1.5
0.5,3.5,0.5,1.5,3.5,0.5,3.5,-3.5
-0.5,2.5,2.5,-0.5,-0.5,0.5,1.5,2.5
0.5,3.5,1.5,2.5,2.5,1.5,1.5,1.5
1.5,-0.5,1.5,-0.5,0.5,0.5,-0.5,3.5
0.5,3.5,3.5,2.5,3.5,3.5,3.5,0.5
3.5,0.5,2.5,2.5,2.5,-0.5,3.5,3.5
2.5,3.5,0.5,0.5,-0.5,3.5,0.5,0.5
1.5,0.5,-0.5,0.5,2.5,-3.5,3.5,3.5
3.5,3.5,2.5,2.5,3.5,3.5,2.5,3.5
3.5,3.5,2.5,0.5,-3.5,3.5,3.5,-3.5
