"X|A vs X|A,X|A","X|A vs X|A,X|A,X|A,X|A",X|A vs XX|AA,X|A vs XXXX|AAAA,X|A vs X|A|A,X|A vs X|A|A|A|A,"X|A|B|C|D vs X|A|B,X|C|D","X|A|B|C|D vs X|A,X|B,X|C,X|D"
1,3,0,0,2,3,1,2
1,1,0,0,0,0,1,1
-3,2,2,-2,3,2,-3,0
1,2,0,0,2,3,1,3
2,2,1,2,1,2,-3,2
0,1,0,0,0,0,0,0
3,3,0,0,0,0,3,0
3,3,3,3,3,3,2,3
0,0,0,0,0,0,1,0
1,2,1,2,-1,0,0,3
2,2,0,2,0,2,2,2
2,2,3,3,3,2,1,-2
1,1,0,0,1,1,1,1
1,2,1,0,1,0,1,1
0,1,0,0,0,0,1,1
3,3,3,3,0,0,3,3
1,2,0,0,1,1,2,2
0,1,2,2,-2,-2,1,3
0,1,0,2,1,1,2,3
3,3,3,3,3,3,-3,3
1,1,3,-2,0,1,3,2
3,3,0,3,3,3,-3,-3
1,0,2,1,1,-1,1,-1
0,1,0,0,0,0,0,1
1,1,0,0,1,1,1,2
0,0,0,0,0,0,0,0
2,3,2,2,0,2,2,3
1,2,0,1,1,1,0,-1
1,1,-1,1,0,1,-1,-1
3,3,3,3,0,0,1,2
